stationId,stationName,stationLatitude,stationLongitude,parkingQRBikeCnt,parkingELECBikeCnt,parkingTotBikeCnt
ST-571,1325. 상월곡역 4번출구,37.60580826,127.04773712,1.0,7.0,8.0
ST-572,1326. 상월곡역 1번출구,37.60606766,127.0473175,2.0,1.0,3.0
ST-574,1327. 상월곡역 3번출구,37.60734177,127.05068207,41.0,0.0,41.0
ST-910,1328. 월곡역 3번출구,37.6026268,127.04163361,14.0,1.0,15.0
ST-578,1332. 석계역 5번출구 건너편,37.61355591,127.06609344,36.0,5.0,41.0
ST-579,1333. 석관초등학교 앞,37.61052322,127.05979919,45.0,7.0,52.0
ST-580,1334. 석관동주민센터 앞,37.61299896,127.06130981,15.0,1.0,16.0
ST-1200,1336. 성북3교 위,37.59125137,127.01400757,0.0,16.0,16.0
ST-1201,1337. 돈암성당 옆,37.59038162,127.01713562,10.0,14.0,24.0
ST-1202,1338. 용문2교 옆,37.5868988,127.02075195,29.0,6.0,35.0
ST-1203,1339. 삼성전자서비스 성북센터,37.610569,127.0335083,21.0,1.0,22.0
ST-1204,1340. 광운초등학교 앞,37.61784363,127.05500031,25.0,3.0,28.0
ST-1206,1342. 성북쉼터 앞,37.59261703,126.99793243,0.0,0.0,0.0
ST-1207,1343. 한성대7번출구 앞,37.58924866,127.00737762,1.0,0.0,1.0
ST-1208,1344. 아리랑시네센터 앞,37.60028839,127.01370239,3.0,0.0,3.0
ST-1210,1346. 길음8골어린이공원 옆,37.60897827,127.02024841,0.0,0.0,0.0
ST-1211,1347. 길음래미안아파트817동 상가 앞,37.60710526,127.02149963,0.0,0.0,0.0
ST-1212,1348. 성북제일새마을금고 본점 앞,37.60475159,127.02275848,15.0,16.0,31.0
ST-1213,1349. 월계2교 버스정류장 앞,37.62382889,127.05020142,12.0,1.0,13.0
ST-1215,1351. 안암2교 옆,37.5794487,127.02419281,6.0,2.0,8.0
ST-1216,1352. e 편한세상 보문아파트 내,37.58388138,127.01709747,11.0,2.0,13.0
ST-1217,1353. 금호어울림센터힐 내,37.60083008,127.02355194,6.0,0.0,6.0
ST-1317,1354. 고려대학교 2번출구,37.5907135,127.03619385,15.0,1.0,16.0
ST-1347,1355. 보문2교,37.58869934,127.01891327,22.0,15.0,37.0
ST-1383,1357. 북한산보국문역,37.61207199,127.00813293,7.0,0.0,7.0
ST-1384,1358. 정릉도서관 앞,37.60478973,127.01058197,0.0,1.0,1.0
ST-1424,1361. 홍익중고 입구,37.59296799,127.00223541,2.0,3.0,5.0
ST-1454,1362. 보문역6번출구 앞,37.58519745,127.01966858,10.0,8.0,18.0
ST-1455,1363. 보문4교 인근,37.58375168,127.02194977,31.0,18.0,49.0
ST-1456,1364. 성북동 치안센터 앞,37.59017181,127.00408936,1.0,2.0,3.0
ST-1458,1366. 일신초등학교 옆,37.59972,127.04038239,25.0,2.0,27.0
ST-1459,1367. 길음문화복합미디어센터,37.60429764,127.02261353,12.0,11.0,23.0
ST-1460,1368. 성신여대입구 교차로,37.59139633,127.02015686,9.0,8.0,17.0
ST-1634,1370. 복자사랑 피정의 집,37.59453964,126.99520874,0.0,0.0,0.0
ST-1636,1372. KEB은행 고대점,37.58644485,127.03160095,2.0,0.0,2.0
ST-1637,1373. 성북구보건소 건너편,37.60235596,127.03907776,3.0,4.0,7.0
ST-1723,1375. 생명의 전화 종합복지관 앞 교차로,37.60390854,127.0373764,19.0,6.0,25.0
ST-1745,1376. 한국과학기술연구원 중문,37.59730911,127.0437851,1.0,0.0,1.0
ST-1746,1377. 한국과학기술연구원 북문,37.60418701,127.04549408,3.0,0.0,3.0
ST-2221,1379.길음뉴타운푸르지오아파트 3단지,37.60929489,127.01847839,1.0,1.0,2.0
ST-2222,1380.월곡역 5번출구 앞,37.60108566,127.04123688,8.0,1.0,9.0
ST-2223,1381.석계역 4번출구 뒤,37.61478424,127.06700134,12.0,6.0,18.0
ST-2406,1382.래미안월곡아파트 입구,37.60866547,127.03627014,6.0,1.0,7.0
ST-2225,1384.성신여대입구역 5번출구,37.59282684,127.01628876,5.0,11.0,16.0
ST-2226,1385.성신여대입구역 3번출구 앞,37.59236526,127.01628876,6.0,1.0,7.0
ST-2227,1386.동선고가차도 초입,37.59415817,127.01896667,9.0,2.0,11.0
ST-2229,1388. 돈암초교입구 버스정류장(한성대입구역 방면),37.59088135,127.01170349,5.0,2.0,7.0
ST-2231,1390.석관래미안아트리치,37.60646057,127.06162262,35.0,5.0,40.0
ST-2232,1391.성북청소년센터,37.61688232,127.05606842,3.0,2.0,5.0
ST-2233,1392.돈암삼성풍림아파트,37.5970993,127.02262878,9.0,1.0,10.0
ST-2234,1393.돈암육교 하단,37.59818268,127.0211792,9.0,5.0,14.0
ST-2235,1394.길음뉴타운 래미안9단지,37.60242462,127.01998138,5.0,2.0,7.0
ST-2236,1395.래미안장위포레카운티(102동),37.61817932,127.05183411,30.0,22.0,52.0
ST-2237,1396.래미안장위퍼스트하이(513동),37.61844254,127.05145264,43.0,17.0,60.0
ST-558,1401. 극동늘푸른아파트,37.61473846,127.07636261,13.0,0.0,13.0
ST-561,1402. 금란주차장 앞,37.60007095,127.10233307,10.0,1.0,11.0
ST-566,1403. 중화빌딩 앞 (동부시장),37.59424973,127.07657623,18.0,2.0,20.0
ST-599,1404. 동일로 지하차도,37.59529877,127.08003235,5.0,0.0,5.0
ST-568,1405. 망우역 1번출구,37.59909821,127.09294891,6.0,0.0,6.0
ST-847,1407. 먹골역 1번출구 뒤,37.61151123,127.07788849,0.0,1.0,1.0
ST-570,1408. 먹골역 6번출구 앞,37.61072159,127.0774765,8.0,1.0,9.0
ST-573,1410. 면목 대원칸타빌아파트,37.57778168,127.09018707,0.0,0.0,0.0
ST-912,1411. 상봉시장앞 교차로 한성빌딩 앞,37.59254074,127.08673859,5.0,2.0,7.0
ST-849,1414. 사가정역 2번출구,37.58098984,127.08824158,9.0,0.0,9.0
ST-850,1416. 상봉역 3번출구,37.59521866,127.08599854,17.0,0.0,17.0
ST-583,1418. 새솔초등학교,37.61743927,127.10901642,5.0,0.0,5.0
ST-585,1420. 신내어울공원 앞,37.61394501,127.09770203,10.0,0.0,10.0
ST-586,1421. 신내역 4번출구,37.61246109,127.1033783,7.0,5.0,12.0
ST-587,1422. 신내우디안아파트 1단지,37.62009811,127.10646057,0.0,0.0,0.0
ST-588,1424. 양원역 2번출구,37.6063118,127.10774231,0.0,0.0,0.0
ST-589,1425. 신성미소지움아파트,37.58745956,127.09597015,1.0,0.0,1.0
ST-590,1426. 면목도시개발아파트 1동 앞,37.57358932,127.08682251,0.0,0.0,0.0
ST-852,1427. 용마산역 1번출구,37.57429886,127.08691406,0.0,0.0,0.0
ST-853,1428. 원묵고등학교,37.61602402,127.08596802,2.0,0.0,2.0
ST-854,1429. 장안중학교,37.59995651,127.08000183,21.0,2.0,23.0
ST-855,1430. 중랑구청,37.60615158,127.09259796,4.0,1.0,5.0
ST-856,1431. 중랑구청 사거리,37.60649872,127.09545135,1.0,0.0,1.0
ST-857,1433. 중화역 2번출구,37.60207748,127.07958221,16.0,1.0,17.0
ST-593,1435. 능산삼거리,37.60868073,127.10079193,4.0,0.0,4.0
ST-594,1436. 동원베네스트 건물 앞,37.60810089,127.10118103,10.0,0.0,10.0
ST-595,1437. 늘푸른공원 앞,37.5834198,127.07992554,15.0,1.0,16.0
ST-596,1438. 홈플러스 신내점 앞,37.61616898,127.09348297,28.0,2.0,30.0
ST-942,1440. 면목2동 사거리,37.58637238,127.0800705,36.0,4.0,40.0
ST-584,1441. 신내능말공원,37.61670685,127.11026001,0.0,0.0,0.0
ST-1093,1442. 중랑구 중소기업 창업센터,37.59859085,127.07981873,5.0,2.0,7.0
ST-1095,1444. 면목4치안센터,37.57402802,127.08054352,14.0,0.0,14.0
ST-1096,1445. 용마지구대 A,37.5799408,127.07939911,10.0,3.0,13.0
ST-1097,1446. 중랑전화국 교차로,37.59130096,127.0803299,13.0,0.0,13.0
ST-1098,1447. 면목역 3번출구,37.58890152,127.08728027,42.0,2.0,44.0
ST-1099,1448. 코스트코 상봉점,37.59732056,127.08979797,0.0,1.0,1.0
ST-1332,1449. 상봉역 1번출구,37.59655762,127.08583832,6.0,0.0,6.0
ST-1333,1450. 화랑대역 7번출구,37.61963654,127.08504486,24.0,1.0,25.0
ST-1334,1451. 중랑세무서,37.59275818,127.07266998,25.0,3.0,28.0
ST-1335,1452. 겸재교 진입부,37.58565521,127.07505035,56.0,3.0,59.0
ST-1345,1453. 중랑캠핑숲,37.60460281,127.10925293,0.0,0.0,0.0
ST-1346,1454. 한국전력공사(동대문 중랑지사),37.6073494,127.07859039,12.0,1.0,13.0
ST-1375,1455. 상봉역 2번 출구,37.59632874,127.08589935,13.0,0.0,13.0
ST-1380,1456. 상아빌딩(우림시장 교차로),37.59511185,127.10032654,5.0,0.0,5.0
ST-1381,1457. 동원사거리,37.58975983,127.09323883,13.0,1.0,14.0
ST-1451,1458. 상봉터미널2,37.59733963,127.09308624,11.0,1.0,12.0
